index	qualified name	raw API description	final sentence pattern	final revised API description	is consensus	raw verb	final revised verb	revised functionality category	is functionality description	new verb by annotator1	new verb by annotator2	revised API description by annotator1	revised API description by annotator2
16	java.util.Collections.reverse(java.util.List<?>)	Reverses the order of the elements in the specified list.	VERB - NOUN - in - NOUN	permute the order of the elements in the specified list.	0	reverse	permute	69	0	permute	permute	Reverses the order of the elements in the specified list.	permutes the order of the elements in the specified list.
17	"""java.lang.Character.codePointAt(java.lang.CharSequence,int)"""	Returns the code point at the given index of the CharSequence.	VERB - NOUN - at - NOUN	get the code point at the given index of the CharSequence.	0	return	get	9	0	get	create	get the code point at the given index of the CharSequence.	creates the code point at the given index of the CharSequence.
18	"""java.lang.Integer.toString(int,int)"""	Returns a string representation of the first argument in the radix specified by the second argument.	VERB - NOUN - in - NOUN	convert  the first argument in the radix specified by the second argument into a string representation .	1	return	convert	40	0	convert	convert	convert  the first argument in the radix specified by the second argument into a string representation .	converts a string representation of the first argument in the radix specified by the second argument.
19	java.util.Set.toArray()	Returns an array containing all of the elements in this set.	VERB - NOUN - in - NOUN	convert all of the elements in this set into an array .	1	return	convert	40	0	convert	convert	convert all of the elements in this set into an array .	converts to an array containing all of the elements in this set.
20	"""java.lang.System.arraycopy(java.lang.Object,int,java.lang.Object,int,int)"""	"""Copies an array from the specified source array, beginning at the specified position, to the specified position of the destination array."""	VERB - NOUN - from - NOUN - to - NOUN	"""Copies an array from the specified source array, beginning at the specified position, to the specified position of the destination array."""	0	copy	copy	17	0	copy	copy	"""Copies an array from the specified source array, beginning at the specified position, to the specified position of the destination array."""	"""Copies an array from the specified source array, beginning at the specified position, to the specified position of the destination array."""
21	java.lang.System.nanoTime()	"""Returns the current value of the running Java Virtual Machine's high-resolution time source, in nanoseconds."""	VERB - NOUN - in - NOUN	"""get the current value of the running Java Virtual Machine's high-resolution time source, in nanoseconds."""	0	return	get	9	0	get	get	"""get the current value of the running Java Virtual Machine's high-resolution time source, in nanoseconds."""	"""gets the current value of the running Java Virtual Machine's high-resolution time source, in nanoseconds."""
22	"""java.lang.String.format(java.lang.String,java.lang.Object...)"""	Returns a formatted string using the specified format string and arguments.	VERB - NOUN	format a string using the specified format string and arguments.	1	return	format	20	0	convert	format	converts a string into a formatted string using the specified format string and arguments.	formats a string to the specified format string and arguments.
24	java.util.regex.Matcher.find()	Attempts to find the next subsequence of the input sequence that matches the pattern.	VERB - NOUN	Attempts to find the next subsequence of the input sequence that matches the pattern.	0	find	find	16	0	find	find	Attempts to find the next subsequence of the input sequence that matches the pattern.	Attempts to find the next subsequence of the input sequence that matches the pattern.
25	"""java.lang.String.replaceAll(java.lang.String,java.lang.String)"""	Replaces each substring of this string that matches the given regular expression with the given replacement.	VERB - NOUN	Replaces each substring of this string that matches the given regular expression with the given replacement.	0	replace	replace	33	0	replace	replace	Replaces each substring of this string that matches the given regular expression with the given replacement.	Replaces each substring of this string that matches the given regular expression with the given replacement.
26	java.lang.reflect.Field.getType()	get a Class object that identifies the declared type for the field represented by this Field object.	VERB - NOUN	get a Class object that identifies the declared type for the field represented by this Field object.	0	return	get	9	0	get	get	Returns a Class object that identifies the declared type for the field represented by this Field object.	gets a Class object that identifies the declared type for the field represented by this Field object.
27	java.util.TimeZone.getDefault()	Gets the default TimeZone of the Java virtual machine.	VERB - NOUN	Gets the default TimeZone of the Java virtual machine.	0	get	get	9	0	get	get	Gets the default TimeZone of the Java virtual machine.	Gets the default TimeZone of the Java virtual machine.
28	"""java.lang.String.join(java.lang.CharSequence,java.lang.CharSequence...)"""	Returns a new String composed of copies of the CharSequence elements joined together with a copy of the specified delimiter.	VERB - NOUN	connect  copies of the CharSequence elements with a copy of the specified delimiter.	0	return	connect	6	0	connect	convert	connect  copies of the CharSequence elements with a copy of the specified delimiter.	convert a copy of the specified delimiter to a new String composed of copies of the CharSequence elements joined together.
29	java.lang.Class.getDeclaredConstructor(java.lang.Class<?>...)	Returns a Constructor object that reflects the specified constructor of the class or interface represented by this Class object.	VERB - NOUN	get a Constructor object that reflects the specified constructor of the class or interface represented by this Class object.	0	return	get	9	0	get	get	get a Constructor object that reflects the specified constructor of the class or interface represented by this Class object.	gets a Constructor object that reflects the specified constructor of the class or interface represented by this Class object.
30	javax.swing.JTextArea.setLineWrap(boolean)	Sets the line-wrapping policy of the text area.	VERB - NOUN	Sets the line-wrapping policy of the text area.	0	set	set	5	0	set	set	Sets the line-wrapping policy of the text area.	Sets the line-wrapping policy of the text area.
31	java.lang.Integer.intValue()	Returns the value of this Integer as an int.	VERB - NOUN - as - NOUN	convert  the value of this Integer into an int.	1	return	convert	40	0	convert	convert	convert  the value of this Integer into an int.	convert an int.to the value of this Integer.
32	"""java.util.stream.Collectors.groupingBy(java.util.function.Function<? super,? extends K>)"""	"""Returns a Collector implementing a """"group by"""" operation on input elements of type T, grouping elements according to a classification function, and returning the results in a Map."""	VERB - NOUN	"""connects a Collector implementing a """"group by"""" operation on input elements of type T, grouping elements according to a classification function, and returning the results in a Map."""	0	return	connect	6	0	connect	connect	"""connect  elements according to a classification function, and returning the results in a Map to return a Collector implementing a """"group by"""" operation on input elements of type T, """	"""connects a Collector implementing a """"group by"""" operation on input elements of type T, grouping elements according to a classification function, and returning the results in a Map."""
33	"""java.lang.Long.toString(long,int)"""	Returns a string representation of the first argument in the radix specified by the second argument.	VERB - NOUN - in - NOUN	convert the first argument in the radix specified by the second argument into a string representation.	1	return 	convert	40	0	convert	convert	convert the first argument in the radix specified by the second argument into a string representation.	converts the first argument in the radix specified by the second argument to a string representation.
34	java.lang.Class.getDeclaredFields()	Returns an array of Field objects reflecting all the fields declared by the class or interface represented by this Class object.	VERB - NOUN - by - NOUN	get an array of Field objects reflecting all the fields declared by the class or interface represented by this Class object.	0	return	get	9	0	get	get	get an array of Field objects reflecting all the fields declared by the class or interface represented by this Class object.	gets an array of Field objects reflecting all the fields declared by the class or interface represented by this Class object.
35	java.net.InetAddress.getByName(java.lang.String)	"""Determines the IP address of a host, given the host's name."""	VERB - NOUN	"""get the IP address of a host, given the host's name."""	0	determine	get	9	0	get	find	"""get the IP address of a host, given the host's name."""	"""finds the IP address of a host, given the host's name."""
37	java.nio.file.Files.readAllBytes(java.nio.file.Path)	Reads all the bytes from a file.	VERB - NOUN - from - NOUN	Reads all the bytes from a file.	0	read	read	43	0	read	read	Reads all the bytes from a file.	Reads all the bytes from a file.
38	java.lang.Double.valueOf(java.lang.String)	"""Returns a Double object holding the double value represented by the argument string s. If s is null, then a NullPointerException is thrown."""	VERB - NOUN	"""convert the double value represented by the argument string s into a Double object. If s is null, then a NullPointerException is thrown."""	0	return	convert	9	0	create	convert	"""create a Double object holding the double value represented by the argument string s. If s is null, then a NullPointerException is thrown."""	"""converts the argument string s to a Double object holding the double value represented by. If s is null, then a NullPointerException is thrown."""
39	java.lang.Integer.bitCount(int)	Returns the number of one-bits in the two's complement binary representation of the specified int value.	VERB - NOUN	get the number of one-bits in the two's complement binary representation of the specified int value.	0	return	get	9	0	get	get	get the number of one-bits in the two's complement binary representation of the specified int value.	gets the number of one-bits in the two's complement binary representation of the specified int value.
40	java.util.Scanner.hasNextInt()	Returns true if the next token in this scanner's input can be interpreted as an int value in the default radix using the nextInt() method.	VERB	check true if the next token in this scanner's input can be interpreted as an int value in the default radix using the nextInt() method.	0	return	check	3	0	check	check	check true if the next token in this scanner's input can be interpreted as an int value in the default radix using the nextInt() method.	checks if the next token in this scanner's input can be interpreted as an int value in the default radix using the nextInt() method.
42	java.lang.Class.getEnumConstants()	Returns the elements of this enum class or null if this Class object does not represent an enum type.	VERB - NOUN	get the elements of this enum class or null if this Class object does not represent an enum type.	0	return	get	9	0	get	get	get the elements of this enum class or null if this Class object does not represent an enum type.	gets the elements of this enum class or null if this Class object does not represent an enum type.
43	java.lang.System.exit(int)	Terminates the currently running Java Virtual Machine.	VERB - NOUN	stop the currently running Java Virtual Machine.	0	terminate	stop	11	0	stop	check	stop the currently running Java Virtual Machine.	checks the currently running Java Virtual Machine.
44	java.lang.Double.parseDouble(java.lang.String)	"""Returns a new double initialized to the value represented by the specified String, as performed by the valueOf method of class Double."""	VERB - NOUN - to - NOUN	"""convert a new double initialized to the value represented by the specified String, as performed by the valueOf method of class Double."""	1	return	convert	40	0	create	convert	"""create a new double initialized to the value represented by the specified String, as performed by the valueOf method of class Double."""	"""convert a new double initialized to the value represented by the specified String, as performed by the valueOf method of class Double."""
45	java.lang.Math.abs(int)	Returns the absolute value of an int value.	VERB - NOUN	computes the absolute value of an int value.	0	return	compute	24	0	get	compute	get the absolute value of an int value.	computes the absolute value of an int value.
46	java.sql.ResultSet.getInt(int)	Retrieves the value of the designated column in the current row of this ResultSet object as an int in the Java programming language.	VERB - NOUN - in - NOUN - as - NOUN - in -NOUN	get the value of the designated column in the current row of this ResultSet object as an int in the Java programming language.	0	retrieve	get	9	0	get	get	get the value of the designated column in the current row of this ResultSet object as an int in the Java programming language.	gets the value of the designated column in the current row of this ResultSet object as an int in the Java programming language.
47	java.util.List.listIterator()	Returns a list iterator over the elements in this list (in proper sequence).	VERB - NOUN - over - NOUN - in - NOUN	get a list iterator over the elements in this list (in proper sequence).	0	return	get	9	0	create	get	create a list iterator over the elements in this list (in proper sequence).	gets a list iterator over the elements in this list (in proper sequence).
49	"""java.util.Arrays.equals(long[],long[])"""	Returns true if the two specified arrays of longs are equal to one another.	VERB	compare if the two specified arrays of longs are equal to one another.	0	return	compare	3	0	compare	compare	compare if the two specified arrays of longs are equal to one another.	compares if the two specified arrays of longs are equal to one another.
50	java.util.Date.toString()	Converts this Date object to a String of the form: dow mon dd hh:mm:ss zzz yyyy .	VERB - NOUN - to - NOUN	Converts this Date object to a String of the form: dow mon dd hh:mm:ss zzz yyyy .	0	convert	convert	40	0	convert	convert	Converts this Date object to a String of the form: dow mon dd hh:mm:ss zzz yyyy .	Converts this Date object to a String of the form: dow mon dd hh:mm:ss zzz yyyy .
56	"""java.util.List.subList(int,int)"""	"""Returns a view of the portion of this list between the specified fromIndex, inclusive, and toIndex, exclusive."""	VERB - NOUN - between - NOUN	"""get a view of the portion of this list between the specified fromIndex, inclusive, and toIndex, exclusive."""	0	return	get	9	0	get	create	"""get a view of the portion of this list between the specified fromIndex, inclusive, and toIndex, exclusive."""	"""creates a view of the portion of this list between the specified fromIndex, inclusive, and toIndex, exclusive."""
57	"""java.lang.Integer.parseInt(java.lang.String,int)"""	Parses the string argument as a signed integer in the radix specified by the second argument.	VERB - NOUN - as - NOUN - in - NOUN - by - NOUN	convert the string argument into a signed integer in the radix specified by the second argument.	1	parse	convert	40	0	convert	convert	convert the string argument into a signed integer in the radix specified by the second argument.	converts the string argument to a signed integer in the radix specified by the second argument.
58	java.lang.reflect.Field.get(java.lang.Object)	"""Returns the value of the field represented by this Field, on the specified object."""	VERB - NOUN	"""get the value of the field represented by this Field, on the specified object."""	0	return	get	9	0	get	get	"""get the value of the field represented by this Field, on the specified object."""	"""gets the value of the field represented by this Field, on the specified object."""
59	java.lang.String.valueOf(java.lang.Object)	Returns the string representation of the Object argument.	VERB - NOUN	convert the Object argument into the string representation.	0	return	convert	9	0	convert	convert	convert the Object argument into the string representation.	converts  the Object argument to string representation.
60	java.lang.System.loadLibrary(java.lang.String)	Loads the native library specified by the libname argument.	VERB - NOUN	read the native library specified from the libname argument.	1	load	read	43	0	read	read	read the native library specified by the libname argument.	reads the native library specified by the libname argument.
61	"""java.math.BigDecimal.setScale(int,java.math.RoundingMode)"""	"""Returns a BigDecimal whose scale is the specified value, and whose unscaled value is determined by multiplying or dividing this BigDecimal's unscaled value by the appropriate power of ten to maintain its overall value."""	VERB - NOUN	"""compute by multiplying or dividing this BigDecimal's unscaled value by the appropriate to get a BigDecimal whose scale is the specified value, and whose unscaled value is determined power of ten to maintain its overall value."""	0	return	compute	5	0	compute	convert	"""compute by multiplying or dividing this BigDecimal's unscaled value by the appropriate to get a BigDecimal whose scale is the specified value, and whose unscaled value is determined power of ten to maintain its overall value."""	"""converts a BigDecimal whose scale is the specified value, and whose unscaled value is determined by multiplying or dividing this BigDecimal's unscaled value by the appropriate power of ten to maintain its overall value."""
62	java.util.List.addAll(java.util.Collection<? extends java.util.List>)	"""Appends all of the elements in the specified collection to the end of this list, in the order that they are returned by the specified collection's iterator (optional operation)."""	VERB - NOUN - in - NOUN - to - NOUN	"""add all of the elements in the specified collection to the end of this list, in the order that they are returned by the specified collection's iterator (optional operation)."""	0	apppend	add	31	0	add	add	"""add all of the elements in the specified collection to the end of this list, in the order that they are returned by the specified collection's iterator (optional operation)."""	"""adds all of the elements in the specified collection to the end of this list, in the order that they are returned by the specified collection's iterator (optional operation)."""
63	java.util.Collections.reverseOrder()	Returns a comparator that imposes the reverse of the natural ordering on a collection of objects that implement the Comparable interface.	VERB - NOUN	create a comparator that imposes the reverse of the natural ordering on a collection of objects that implement the Comparable interface.	0	return	create	6	0	permute	permute	permute reverse option of the natural ordering on a collection of objects that implement the Comparable interface.	permutes a comparator that imposes the reverse of the natural ordering on a collection of objects that implement the Comparable interface.
65	"""java.util.Arrays.fill(long[],long)"""	Assigns the specified long value to each element of the specified array of longs.	VERB - NOUN - to - NOUN	set the specified long value to each element of the specified array of longs.	0	assign	set	5	0	set	set	set the specified long value to each element of the specified array of longs.	sets the specified long value to each element of the specified array of longs.
67	java.util.Date.getTime()	"""Returns the number of milliseconds since January 1, 1970, 00:00:00 GMT represented by this Date object."""	VERB - NOUN	"""get the number of milliseconds since January 1, 1970, 00:00:00 GMT represented by this Date object."""	0	return	get	9	0	get	get	"""get the number of milliseconds since January 1, 1970, 00:00:00 GMT represented by this Date object."""	"""gets the number of milliseconds since January 1, 1970, 00:00:00 GMT represented by this Date object."""
68	java.util.stream.Stream.toArray()	Returns an array containing the elements of this stream.	VERB - NOUN	convert  the elements of this stream into an array .	1	return	convert	40	0	convert	convert	convert  the elements of this stream into an array .	convert the elements of this stream to an array.
69	java.lang.String.indexOf(int)	Returns the index within this string of the first occurrence of the specified character.	VERB - NOUN - within - NOUN	get the index within this string of the first occurrence of the specified character.	0	return	get	9	0	get	get	get the index within this string of the first occurrence of the specified character.	Returns the index within this string of the first occurrence of the specified character.
71	java.lang.Class.newInstance()	Creates a new instance of the class represented by this Class object.	VERB - NOUN - by - NOUN	Creates a new instance of the class represented by this Class object.	0	create	create	6	0	create	create	Creates a new instance of the class represented by this Class object.	Creates a new instance of the class represented by this Class object.
72	java.sql.ResultSet.getMetaData()	"""Retrieves the number, types and properties of this ResultSet object's columns."""	VERB - NOUN	"""get the number, types and properties of this ResultSet object's columns."""	0	retrieve	get	9	0	get	get	"""get the number, types and properties of this ResultSet object's columns."""	"""gets the number, types and properties of this ResultSet object's columns."""
73	java.lang.Class.forName(java.lang.String)	Returns the Class object associated with the class or interface with the given string name.	VERB - NOUN - with - NOUN	creates the Class object associated with the class or interface with the given string name.	0	return	create	9	0	get	create	get the Class object associated with the class or interface with the given string name.	creates the Class object associated with the class or interface with the given string name.
74	java.lang.String.matches(java.lang.String)	Tells whether or not this string matches the given regular expression.	VERB	check whether or not this string matches the given regular expression.	0	tell	check	3	0	check	check	check whether or not this string matches the given regular expression.	checks string matches the given regular expression.
75	java.io.File.length()	Returns the length of the file denoted by this abstract pathname.	VERB - NOUN 	get the length of the file denoted by this abstract pathname.	0	return	get	9	0	get	get	get the length of the file denoted by this abstract pathname.	Gets the length of the file denoted by this abstract pathname.
76	java.io.BufferedReader.readLine()	Reads a line of text.	VERB - NOUN	Reads a line from text.	1	read	read	43	0	read	read	Reads a line of text.	Reads a line of text.
77	java.io.File.toPath()	Returns a java.nio.file.Path object constructed from the this abstract path.	VERB - NOUN	get a java.nio.file.Path object constructed from the this abstract path.	0	return	get	9	0	get	get	get a java.nio.file.Path object constructed from the this abstract path.	gets a java.nio.file.Path object constructed from the this abstract path.
78	java.lang.Class.cast(java.lang.Object)	Casts an object to the class or interface represented by this Class object.	VERB - NOUN - to - NOUN	convert an object into the class or interface represented by this Class object.	0	cast	convert	41	0	convert	convert	convert an object into the class or interface represented by this Class object.	converts an object to the class or interface represented by this Class object.
79	"""java.util.stream.Stream.flatMap(java.util.function.Function<? super,? extends java.util.stream.Stream<? extends R>>)"""	Returns a stream consisting of the results of replacing each element of this stream with the contents of a mapped stream produced by applying the provided mapping function to each element.	VERB - NOUN	get a stream consisting of the results of replacing each element of this stream with the contents of a mapped stream produced by applying the provided mapping function to each element.	0	return	get	9	0	get	create	get a stream consisting of the results of replacing each element of this stream with the contents of a mapped stream produced by applying the provided mapping function to each element.	crreates a stream consisting of the results of replacing each element of this stream with the contents of a mapped stream produced by applying the provided mapping function to each element.
80	java.lang.Class.forName(java.lang.String)	Returns the Class object associated with the class or interface with the given string name.	VERB - NOUN - with - NOUN	creates the Class object associated with the class or interface with the given string name.	0	return	create	9	0	get	create	get the Class object associated with the class or interface with the given string name.	creates the Class object associated with the class or interface with the given string name.
81	java.lang.String.compareTo(java.lang.String)	Compares two strings lexicographically.	VERB - NOUN	Compares two strings lexicographically.	0	compare	compare	29	0	compare	compare	Compares two strings lexicographically.	Compares two strings lexicographically.
82	"""java.lang.String.format(java.lang.String,java.lang.Object...)"""	Returns a formatted string using the specified format string and arguments.	VERB - NOUN	format a string using the specified format string and arguments.	1	return	format	20	0	convert	format	converts a string into a formatted string using the specified format string and arguments.	formats a formatted string using the specified format string and arguments.
83	java.lang.Math.toDegrees(double)	Converts an angle measured in radians to an approximately equivalent angle measured in degrees.	VERB - NOUN - in - NOUN - to - NOUN	Converts an angle measured in radians to an approximately equivalent angle measured in degrees.	0	convert	convert	40	0	convert	convert	Converts an angle measured in radians to an approximately equivalent angle measured in degrees.	Converts an angle measured in radians to an approximately equivalent angle measured in degrees.
84	java.net.URL.toURI()	Returns a URI equivalent to this URL.	VERB - NOUN - to - NOUN	get a synchronized (thread-safe) list backed by the specified list.	0	return	get	9	0	get	get	get a synchronized (thread-safe) list backed by the specified list.	gets a URI equivalent to this URL.
85	java.util.Collections.synchronizedList(java.util.List<T>)	Returns a synchronized (thread-safe) list backed by the specified list.	VERB - NOUN	get a synchronized (thread-safe) list backed by the specified list.	0	return	get	9	0	get	get	get a synchronized (thread-safe) list backed by the specified list.	gets a synchronized (thread-safe) list backed by the specified list.
86	java.awt.Window.getFocusOwner()	Returns the child Component of this Window that has focus if this Window is focused; returns null otherwise.	VERB - NOUN	get the child Component of this Window that has focus if this Window is focused; returns null otherwise.	0	return	get	9	0	get	get	get the child Component of this Window that has focus if this Window is focused; returns null otherwise.	gets the child Component of this Window that has focus if this Window is focused; returns null otherwise.
87	java.math.BigDecimal.doubleValue()	Converts this BigDecimal to a double.	VERB - NOUN - to - NOUN	Converts this BigDecimal to a double.	0	convert	convert	40	0	convert	convert	Converts this BigDecimal to a double.	Converts this BigDecimal to a double.
88	"""java.lang.String.split(java.lang.String,int)"""	Splits this string around matches of the given regular expression.	VERB - NOUN - around - NOUN	Splits this string around matches of the given regular expression.	0	split	split	76	0	split	split	Splits this string around matches of the given regular expression.	Splits this string around matches of the given regular expression.
89	"""java.lang.System.setProperty(java.lang.String,java.lang.String)"""	Sets the system property indicated by the specified key.	VERB - NOUN	Sets the system property indicated by the specified key.	0	set	set	5	0	set	set	Sets the system property indicated by the specified key.	Sets the system property indicated by the specified key.
91	java.lang.String.matches(java.lang.String)	Tells whether or not this string matches the given regular expression.	VERB	check whether or not this string matches the given regular expression.	0	tell	check	3	0	check	check	check whether or not this string matches the given regular expression.	checks string matches the given regular expression.
92	java.lang.System.currentTimeMillis()	Returns the current time in milliseconds.	VERB - NOUN - in - NOUN	get the current time in milliseconds.	0	return	get	9	0	get	get	get the current time in milliseconds.	gets the current time in milliseconds.
93	"""java.math.BigDecimal.setScale(int,java.math.RoundingMode)"""	"""Returns a BigDecimal whose scale is the specified value, and whose unscaled value is determined by multiplying or dividing this BigDecimal's unscaled value by the appropriate power of ten to maintain its overall value."""	VERB - NOUN	"""compute by multiplying or dividing this BigDecimal's unscaled value by the appropriate to get a BigDecimal whose scale is the specified value, and whose unscaled value is determined power of ten to maintain its overall value."""	0	return	compute	5	0	compute	convert	"""compute by multiplying or dividing this BigDecimal's unscaled value by the appropriate to get a BigDecimal whose scale is the specified value, and whose unscaled value is determined power of ten to maintain its overall value."""	"""converts a BigDecimal whose scale is the specified value, and whose unscaled value is determined by multiplying or dividing this BigDecimal's unscaled value by the appropriate power of ten to maintain its overall value."""
94	java.lang.String.contains(java.lang.CharSequence)	Returns true if and only if this string contains the specified sequence of char values.	VERB	check true if and only if this string contains the specified sequence of char values.	0	return	check	3	0	check	check	check true if and only if this string contains the specified sequence of char values.	Checks if and only if this string contains the specified sequence of char values.
95	java.lang.Thread.holdsLock(java.lang.Object)	Returns true if and only if the current thread holds the monitor lock on the specified object.	VERB	check true if and only if the current thread holds the monitor lock on the specified object.	0	return	check	3	0	check	check	check true if and only if the current thread holds the monitor lock on the specified object.	Checks if and only if the current thread holds the monitor lock on the specified object.
97	java.util.regex.Pattern.quote(java.lang.String)	Returns a literal pattern String for the specified String.	VERB - NOUN - for - NOUN	convert a literal pattern String to the specified String.	0	return	convert	9	0	get	convert	get  a literal pattern String for the specified String.	convert a literal pattern String to the specified String.
98	java.util.Collections.reverseOrder()	Returns a comparator that imposes the reverse of the natural ordering on a collection of objects that implement the Comparable interface.	VERB - NOUN	create a comparator that imposes the reverse of the natural ordering on a collection of objects that implement the Comparable interface.	0	return	create	6	0	permute	permute	permute reverse option of the natural ordering on a collection of objects that implement the Comparable interface.	permutes a comparator that imposes the reverse of the natural ordering on a collection of objects that implement the Comparable interface.
99	java.lang.Class.getSimpleName()	Returns the simple name of the underlying class as given in the source code.	VERB - NOUN	get the simple name of the underlying class as given in the source code.	0	return	get	9	0	get	get	get the simple name of the underlying class as given in the source code.	gets the simple name of the underlying class as given in the source code.
100	"""java.util.Arrays.fill(long[],long)"""	Assigns the specified long value to each element of the specified array of longs.	VERB - NOUN - to - NOUN	set the specified long value to each element of the specified array of longs.	0	assign	set	5	0	set	set	set the specified long value to each element of the specified array of longs.	sets the specified long value to each element of the specified array of longs.
101	java.util.Scanner.next()	Finds and returns the next complete token from this scanner.	VERB - NOUN - from - NOUN	Finds and returns the next complete token from this scanner.	0	find;return	find	16;9	0	find;get	find;get	Finds and returns the next complete token from this scanner.	Finds and gets the next complete token from this scanner.
102	"""java.lang.String.split(java.lang.String,int)"""	Splits this string around matches of the given regular expression.	VERB - NOUN - around - NOUN	Splits this string around matches of the given regular expression.	0	split	split	76	0	split	split	Splits this string around matches of the given regular expression.	Splits this string around matches of the given regular expression.
