index	qualified name	API description	sentence pattern	revised API description	is_consensus	"raw verb (""/"" if don't have verbs)"	"revised verb (""/"" if don't have verbs)"	functionality category of new verb (index)	"is functionality description? (1 for false, 0 for true)"	"new verb (""/"" if don't have verbs) by annotator1"	"new verb (""/"" if don't have verbs) by annotator2"	revised API description by annotator 1	revised API description by annotator 2
18	"java.lang.Integer.toString(int,int)"	Returns a string representation of the first argument in the radix specified by the second argument.	VERB - NOUN - in - NOUN	convert  the first argument in the radix specified by the second argument into a string representation .	1	return	convert	40	0	convert	convert	convert  the first argument in the radix specified by the second argument into a string representation .	converts a string representation of the first argument in the radix specified by the second argument.
19	java.util.Set.toArray()	Returns an array containing all of the elements in this set.	VERB - NOUN - in - NOUN	convert all of the elements in this set into an array .	1	return	convert	40	0	convert	convert	convert all of the elements in this set into an array .	converts to an array containing all of the elements in this set.
19	java.util.Set.toArray(T[])	Returns an array containing all of the elements in this set; the runtime type of the returned array is that of the specified array.	VERB - NOUN - in - NOUN	convert all of the elements in this set into an array ; the runtime type of the returned array is that of the specified array.	1	return	convert	40	0	convert	convert	convert all of the elements in this set into an array ; the runtime type of the returned array is that of the specified array.	convert to an array containing all of the elements in this set; the runtime type of the returned array is that of the specified array.
20	"java.lang.System.arraycopy(java.lang.Object,int,java.lang.Object,int,int)"	"Copies an array from the specified source array, beginning at the specified position, to the specified position of the destination array."	VERB - NOUN - from - NOUN - to - NOUN	"Copies an array from the specified source array, beginning at the specified position, to the specified position of the destination array."	0	copy	copy	17	0	copy	copy	"Copies an array from the specified source array, beginning at the specified position, to the specified position of the destination array."	"Copies an array from the specified source array, beginning at the specified position, to the specified position of the destination array."
21	java.lang.System.nanoTime()	"Returns the current value of the running Java Virtual Machine's high-resolution time source, in nanoseconds."	VERB - NOUN - in - NOUN	"get the current value of the running Java Virtual Machine's high-resolution time source, in nanoseconds."	0	return	get	9	0	get	get	"get the current value of the running Java Virtual Machine's high-resolution time source, in nanoseconds."	"gets the current value of the running Java Virtual Machine's high-resolution time source, in nanoseconds."
22	"java.lang.String.format(java.lang.String,java.lang.Object)"	Returns a formatted string using the specified format string and arguments.	VERB - NOUN	format a string using the specified format string and arguments.	1	return	format	20	0	convert	format	converts a string into a formatted string using the specified format string and arguments.	formats a formatted string using the specified format string and arguments.
22	"java.lang.String.format(java.lang.String,java.lang.Object...)"	Returns a formatted string using the specified format string and arguments.	VERB - NOUN	format a string using the specified format string and arguments.	1	return	format	20	0	convert	format	converts a string into a formatted string using the specified format string and arguments.	formats a string to the specified format string and arguments.
22	"java.lang.String.format(java.util.Locale,java.lang.String,java.lang.Object)"	"Returns a formatted string using the specified locale, format string, and arguments."	VERB - NOUN	"format a string using the specified locale, format string, and arguments."	1	return	format	20	0	convert	format	"convert  an object into a formatted string using the specified locale, format string, and arguments."	"formats a string to the specified locale, format string, and arguments."
22	"java.lang.String.format(java.util.Locale,java.lang.String,java.lang.Object...)"	"Returns a formatted string using the specified locale, format string, and arguments."	VERB - NOUN	"format a string using the specified locale, format string, and arguments."	1	return	format	20	0	convert	format	"convert  an object into a formatted string using the specified locale, format string, and arguments."	"formats a string to the specified locale, format string, and arguments."
23	java.util.Arrays.toString(boolean[])	Returns a string representation of the contents of the specified array.	VERB - NOUN	convert  the contents of the specified array into a string representation.	1	return	convert	40	0	convert	convert	convert  the contents of the specified array into a string representation.	converts representation of the contents of the specified array to a string.
23	java.util.Arrays.toString(byte[])	Returns a string representation of the contents of the specified array.	VERB - NOUN	convert  the contents of the specified array into a string representation.	1	return	convert	40	0	convert	convert	convert  the contents of the specified array into a string representation.	converts representation of the contents of the specified array to a string.
23	java.util.Arrays.toString(char[])	Returns a string representation of the contents of the specified array.	VERB - NOUN	convert  the contents of the specified array into a string representation.	1	return	convert	40	0	convert	convert	convert  the contents of the specified array into a string representation.	converts representation of the contents of the specified array to a string.
23	java.util.Arrays.toString(double[])	Returns a string representation of the contents of the specified array.	VERB - NOUN	convert  the contents of the specified array into a string representation.	1	return	convert	40	0	convert	convert	convert  the contents of the specified array into a string representation.	converts representation of the contents of the specified array to a string.
23	java.util.Arrays.toString(float[])	Returns a string representation of the contents of the specified array.	VERB - NOUN	convert  the contents of the specified array into a string representation.	1	return	convert	40	0	convert	convert	convert  the contents of the specified array into a string representation.	converts representation of the contents of the specified array to a string.
23	java.util.Arrays.toString(int[])	Returns a string representation of the contents of the specified array.	VERB - NOUN	convert  the contents of the specified array into a string representation.	1	return	convert	40	0	convert	convert	convert  the contents of the specified array into a string representation.	converts representation of the contents of the specified array to a string.
23	java.util.Arrays.toString(java.lang.Object)	Returns a string representation of the contents of the specified array.	VERB - NOUN	convert  the contents of the specified array into a string representation.	1	return	convert	40	0	convert	convert	convert  the contents of the specified array into a string representation.	converts representation of the contents of the specified array to a string.
23	java.util.Arrays.toString(java.lang.Object[])	Returns a string representation of the contents of the specified array.	VERB - NOUN	convert  the contents of the specified array into a string representation.	1	return	convert	40	0	convert	convert	convert  the contents of the specified array into a string representation.	converts representation of the contents of the specified array to a string.
23	java.util.Arrays.toString(long[])	Returns a string representation of the contents of the specified array.	VERB - NOUN	convert  the contents of the specified array into a string representation.	1	return	convert	40	0	convert	convert	convert  the contents of the specified array into a string representation.	converts representation of the contents of the specified array to a string.
23	java.util.Arrays.toString(short[])	Returns a string representation of the contents of the specified array.	VERB - NOUN	convert  the contents of the specified array into a string representation.	1	return	convert	40	0	convert	convert	convert  the contents of the specified array into a string representation.	converts representation of the contents of the specified array to a string.
24	java.util.regex.Matcher.find()	Attempts to find the next subsequence of the input sequence that matches the pattern.	VERB - NOUN	Attempts to find the next subsequence of the input sequence that matches the pattern.	0	find	find	16	0	find	find	Attempts to find the next subsequence of the input sequence that matches the pattern.	Attempts to find the next subsequence of the input sequence that matches the pattern.
24	java.util.regex.Matcher.find(int)	"Resets this matcher and then attempts to find the next subsequence of the input sequence that matches the pattern, starting at the specified index."	VERB - NOUN	"initialize this matcher and then attempts to find the next subsequence of the input sequence that matches the pattern, starting at the specified index."	0	reset;find	find	19;16	0	find	find	"initialize this matcher and then attempts to find the next subsequence of the input sequence that matches the pattern, starting at the specified index."	"Resets this matcher and then attempts to find the next subsequence of the input sequence that matches the pattern, starting at the specified index."
25	"java.lang.String.replaceAll(java.lang.String,java.lang.String)"	Replaces each substring of this string that matches the given regular expression with the given replacement.	VERB - NOUN	Replaces each substring of this string that matches the given regular expression with the given replacement.	0	replace	replace	33	0	replace	replace	Replaces each substring of this string that matches the given regular expression with the given replacement.	Replaces each substring of this string that matches the given regular expression with the given replacement.
26	java.lang.reflect.Field.getType()	get a Class object that identifies the declared type for the field represented by this Field object.	VERB - NOUN	get a Class object that identifies the declared type for the field represented by this Field object.	0	return	get	9	0	get	get	Returns a Class object that identifies the declared type for the field represented by this Field object.	gets a Class object that identifies the declared type for the field represented by this Field object.
27	java.util.TimeZone.getDefault()	Gets the default TimeZone of the Java virtual machine.	VERB - NOUN	Gets the default TimeZone of the Java virtual machine.	0	get	get	9	0	get	get	Gets the default TimeZone of the Java virtual machine.	Gets the default TimeZone of the Java virtual machine.
28	"java.lang.String.join(java.lang.CharSequence,java.lang.CharSequence)"	Returns a new String composed of copies of the CharSequence elements joined together with a copy of the specified delimiter.	VERB - NOUN	connect  copies of the CharSequence elements with a copy of the specified delimiter.	0	return	connect	6	0	connect	convert	connect  copies of the CharSequence elements with a copy of the specified delimiter.	convert a copy of the specified delimiter to a new String composed of copies of the CharSequence elements joined together.
28	"java.lang.String.join(java.lang.CharSequence,java.lang.CharSequence...)"	Returns a new String composed of copies of the CharSequence elements joined together with a copy of the specified delimiter.	VERB - NOUN	connect  copies of the CharSequence elements with a copy of the specified delimiter.	0	return	connect	6	0	connect	convert	connect  copies of the CharSequence elements with a copy of the specified delimiter.	convert a copy of the specified delimiter to a new String composed of copies of the CharSequence elements joined together.
28	"java.lang.String.join(java.lang.CharSequence,java.lang.Iterable<? extends java.lang.CharSequence>)"	Returns a new String composed of copies of the CharSequence elements joined together with a copy of the specified delimiter.	VERB - NOUN	connect  copies of the CharSequence elements with a copy of the specified delimiter.	0	return	connect	6	0	connect	convert	connect  copies of the CharSequence elements with a copy of the specified delimiter.	convert a copy of the specified delimiter to a new String composed of copies of the CharSequence elements joined together.
29	java.lang.Class.getDeclaredConstructor(java.lang.Class<?>)	Returns a Constructor object that reflects the specified constructor of the class or interface represented by this Class object.	VERB - NOUN	get a Constructor object that reflects the specified constructor of the class or interface represented by this Class object.	0	return	get	9	0	get	get	get a Constructor object that reflects the specified constructor of the class or interface represented by this Class object.	gets a Constructor object that reflects the specified constructor of the class or interface represented by this Class object.
29	java.lang.Class.getDeclaredConstructor(java.lang.Class<?>...)	Returns a Constructor object that reflects the specified constructor of the class or interface represented by this Class object.	VERB - NOUN	get a Constructor object that reflects the specified constructor of the class or interface represented by this Class object.	0	return	get	9	0	get	get	get a Constructor object that reflects the specified constructor of the class or interface represented by this Class object.	gets a Constructor object that reflects the specified constructor of the class or interface represented by this Class object.
30	javax.swing.JTextArea.setLineWrap(boolean)	Sets the line-wrapping policy of the text area.	VERB - NOUN	Sets the line-wrapping policy of the text area.	0	set	set	5	0	set	set	Sets the line-wrapping policy of the text area.	Sets the line-wrapping policy of the text area.
31	java.lang.Integer.intValue()	Returns the value of this Integer as an int.	VERB - NOUN - as - NOUN	convert  the value of this Integer into an int.	1	return	convert	40	0	convert	convert	convert  the value of this Integer into an int.	convert an int.to the value of this Integer.
32	"java.util.stream.Collectors.groupingBy(java.util.function.Function<? super,? extends K>)"	"Returns a Collector implementing a ""group by"" operation on input elements of type T, grouping elements according to a classification function, and returning the results in a Map."	VERB - NOUN	"connects a Collector implementing a ""group by"" operation on input elements of type T, grouping elements according to a classification function, and returning the results in a Map."	0	return	connect	6	0	connect	connect	"connect  elements according to a classification function, and returning the results in a Map to return a Collector implementing a ""group by"" operation on input elements of type T, "	"connects a Collector implementing a ""group by"" operation on input elements of type T, grouping elements according to a classification function, and returning the results in a Map."
32	"java.util.stream.Collectors.groupingBy(java.util.function.Function<? super,? extends K>,java.util.function.Supplier<M>,java.util.stream.Collector<? super,,D>)"	"Returns a Collector implementing a cascaded ""group by"" operation on input elements of type T, grouping elements according to a classification function, and then performing a reduction operation on the values associated with a given key using the specified downstream Collector."	VERB - NOUN	"connects a Collector implementing a cascaded ""group by"" operation on input elements of type T, getting elements according to a classification function, and then performing a reduction operation on the values associated with a given key using the specified downstream Collector."	0	return	connect	6	0	connect	connect	"connect grouping elements according to a classification function, and then performing a reduction operation on the values associated with a given key using the specified downstream Collector to return a Collector implementing a cascaded ""group by"" operation on input elements of type T"	"connects a Collector implementing a cascaded ""group by"" operation on input elements of type T, getting elements according to a classification function, and then performing a reduction operation on the values associated with a given key using the specified downstream Collector."
32	"java.util.stream.Collectors.groupingBy(java.util.function.Function<? super,? extends K>,java.util.stream.Collector<? super,,D>)"	"Returns a Collector implementing a cascaded ""group by"" operation on input elements of type T, grouping elements according to a classification function, and then performing a reduction operation on the values associated with a given key using the specified downstream Collector."	VERB - NOUN	"connects a Collector implementing a cascaded ""group by"" operation on input elements of type T, getting elements according to a classification function, and then performing a reduction operation on the values associated with a given key using the specified downstream Collector."	0	return	connect	6	0	connect	connect	"connect grouping elements according to a classification function, and then performing a reduction operation on the values associated with a given key using the specified downstream Collector to return a Collector implementing a cascaded ""group by"" operation on input elements of type T"	"connects a Collector implementing a cascaded ""group by"" operation on input elements of type T, getting elements according to a classification function, and then performing a reduction operation on the values associated with a given key using the specified downstream Collector."
33	java.lang.Long.toString(long)	Returns a String object representing the specified long.	VERB - NOUN	convert the specified long into a String object.	1	return 	convert	40	0	convert	convert	convert the specified long into a String object.	convert the specified long to a String object.
33	java.lang.Long.toString()	Returns a String object representing this Long's value.	VERB - NOUN	convert  this Long's value into  a String object.	1	return 	convert	40	0	convert	convert	convert  this Long's value into  a String object.	convert this Long's value to a String object.
33	"java.lang.Long.toString(long,int)"	Returns a string representation of the first argument in the radix specified by the second argument.	VERB - NOUN - in - NOUN	convert the first argument in the radix specified by the second argument into a string representation.	1	return 	convert	40	0	convert	convert	convert the first argument in the radix specified by the second argument into a string representation.	converts the first argument in the radix specified by the second argument to a string representation.
34	java.lang.Class.getDeclaredFields()	Returns an array of Field objects reflecting all the fields declared by the class or interface represented by this Class object.	VERB - NOUN - by - NOUN	get an array of Field objects reflecting all the fields declared by the class or interface represented by this Class object.	0	return	get	9	0	get	get	get an array of Field objects reflecting all the fields declared by the class or interface represented by this Class object.	gets an array of Field objects reflecting all the fields declared by the class or interface represented by this Class object.
35	java.net.InetAddress.getByName(java.lang.String)	"Determines the IP address of a host, given the host's name."	VERB - NOUN	"get the IP address of a host, given the host's name."	0	determine	get	9	0	get	find	"get the IP address of a host, given the host's name."	"finds the IP address of a host, given the host's name."
36	java.lang.String.intern()	Returns a canonical representation for the string object.	VERB - NOUN - for - NOUN	get a canonical representation for the string object.	0	return	get	9	0	create	get	create a canonical representation for the string object.	gets a canonical representation for the string object.
37	java.nio.file.Files.readAllBytes(java.nio.file.Path)	Reads all the bytes from a file.	VERB - NOUN - from - NOUN	Reads all the bytes from a file.	0	read	read	43	0	read	read	Reads all the bytes from a file.	Reads all the bytes from a file.
38	java.lang.Double.valueOf(double)	Returns a Double instance representing the specified double value.	VERB - NOUN	convert  the specified double value into  a Double instance.	1	return	convert	40	0	convert	convert	convert  the specified double value into  a Double instance.	converts the specified double value to a Double instance.
38	java.lang.Double.valueOf(java.lang.String)	"Returns a Double object holding the double value represented by the argument string s. If s is null, then a NullPointerException is thrown."	VERB - NOUN	"convert the double value represented by the argument string s into a Double object. If s is null, then a NullPointerException is thrown."	0	return	convert	9	0	create	convert	"create a Double object holding the double value represented by the argument string s. If s is null, then a NullPointerException is thrown."	"converts the argument string s to a Double object holding the double value represented by. If s is null, then a NullPointerException is thrown."
39	java.lang.Integer.bitCount(int)	Returns the number of one-bits in the two's complement binary representation of the specified int value.	VERB - NOUN	get the number of one-bits in the two's complement binary representation of the specified int value.	0	return	get	9	0	get	get	get the number of one-bits in the two's complement binary representation of the specified int value.	gets the number of one-bits in the two's complement binary representation of the specified int value.
40	java.util.Scanner.hasNextInt()	Returns true if the next token in this scanner's input can be interpreted as an int value in the default radix using the nextInt() method.	VERB	check true if the next token in this scanner's input can be interpreted as an int value in the default radix using the nextInt() method.	0	return	check	3	0	check	check	check true if the next token in this scanner's input can be interpreted as an int value in the default radix using the nextInt() method.	checks if the next token in this scanner's input can be interpreted as an int value in the default radix using the nextInt() method.
40	java.util.Scanner.hasNextInt(int)	Returns true if the next token in this scanner's input can be interpreted as an int value in the specified radix using the nextInt() method.	VERB	check true if the next token in this scanner's input can be interpreted as an int value in the specified radix using the nextInt() method.	0	return	check	3	0	check	check	check true if the next token in this scanner's input can be interpreted as an int value in the specified radix using the nextInt() method.	checks if the next token in this scanner's input can be interpreted as an int value in the specified radix using the nextInt() method.
41	"java.lang.Class.forName(java.lang.String,boolean,java.lang.ClassLoader)"	"Returns the Class object associated with the class or interface with the given string name, using the given class loader."	VERB - NOUN - with - NOUN	"creates the Class object associated with the class or interface with the given string name, using the given class loader."	0	return	create	9	0	get	create	"get the Class object associated with the class or interface with the given string name, using the given class loader."	"creates the Class object associated with the class or interface with the given string name, using the given class loader."
41	java.lang.Class.forName(java.lang.String)	Returns the Class object associated with the class or interface with the given string name.	VERB - NOUN - with - NOUN	creates the Class object associated with the class or interface with the given string name.	0	return	create	9	0	get	create	get the Class object associated with the class or interface with the given string name.	creates the Class object associated with the class or interface with the given string name.
42	java.lang.Class.getEnumConstants()	Returns the elements of this enum class or null if this Class object does not represent an enum type.	VERB - NOUN	get the elements of this enum class or null if this Class object does not represent an enum type.	0	return	get	9	0	get	get	get the elements of this enum class or null if this Class object does not represent an enum type.	gets the elements of this enum class or null if this Class object does not represent an enum type.
43	java.lang.System.exit(int)	Terminates the currently running Java Virtual Machine.	VERB - NOUN	stop the currently running Java Virtual Machine.	0	terminate	stop	11	0	stop	check	stop the currently running Java Virtual Machine.	checks the currently running Java Virtual Machine.
