index	sentence	predication	main verb	functionality category	"score for the predication(1 absolutely disagree, 2 disagree, 3 agree, 4 absolutely agree)"	"if you disagree with the predication, which category do you think it should belong to? (just write the main verb)"
41	Sets the top margin.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
42	Get the clm field for the SEP record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
43	Get the minimum axis value field for the ValueRange record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
44	Left cell spacing.	10	unknown	not a function	4	
45	Sets the chunk size of the data stream.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
46	Not available for HSSF.	10	unknown	not a function	4	
47	"HSSF Only - convert an external sheet index to an internal sheet index	  for an external-style reference to one of this workbook's own sheets"	61	convert	convert/change/transfer/flatten/parse/map/turn/transform/reconvert/move/unmarshal/adapt/marshal/package/translate/encode/decode/synthesize/wrap/compress/force/cast/pack/compact/unescape/encrypt/return/escape	4	
48	Set the scale.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
49	Return last index <= bytePos that is in table	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
50	"Get an Iterator of objects	 some of which may implement POIFSViewable"	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
51	get a string representation of the record (for biffview/debugging)	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
52	whether the footer text is displayed.	10	unknown	not a function	4	
53	Sets the traverseEmptyCells property.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
54	Returns the odd page header.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
55	Gets the debug info BIFF record type name (used by CellRecord.toString().	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
56	Set the wCharScale field for the CHP record.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
57	"get the cells type (numeric	 formula or string)"	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
58	Set the chart group index field for the SeriesChartGroupIndex record.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
59	Set the options field for the LinkedData record.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
60	Returns the ID/IX of the chunk	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
61	Check if the specified content type is already register.	3	check	test/tell/determine/check/retrieve/ascertain/return/control/indicate/query/report/validate/get/invalidate/verify/find/identify/track/detect/decide	4	
62	Sets the viewFlags_unused2 field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
63	Gets embedded object data from the slide show.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
64	Return defines position of this anchor in the sheet.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
65	Get the values data type field for the Series record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
66	"Returns the Environment of this Notes	 which lots of settings for the document in it"	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
67	Creates a CellRangeAddress from a cell range reference string.	7	create	create/build/produce/construct/generate/establish/make/obtain/reconstitute/compose/instantiate/implement/get/retrieve/return	4	
68	Sets the iRes field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
69	get the ShortField's current value	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
70	Deprecated.__eturns the enum constant of this type with the specified name.	39	notify	report/notify/tell/indicate/prompt	1	get
71	Used internally by Word.	10	unknown	not a function	4	
72	Get the line color field for the LineFormat record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
73	Sets the underlined state	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
74	"""The threshold that defines everything from here up is maximum"""""""""""	10	unknown	not a function	4	
75	gets the description text	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
76	Get the ptap field for the PAP record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
77	Set the default row height for the sheet (if the rows do not define their own height) in points	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
78	Changes the Icon Set used	4	modify	update/modify/fill/edit/change/rename/populate/adjust/flush/trim/adapt/reconcile/resize	4	
79	Perform whatever activities need to be performed prior to writing	14	perform	perform/execute/run/call/invoke/enforce/fire/trigger/indicate/occur	4	
80	Get the chse field for the CHP record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
81	"Returns an array containing the constants of this enum type	 inthe order they are declared."	61	convert	convert/change/transfer/flatten/parse/map/turn/transform/reconvert/move/unmarshal/adapt/marshal/package/translate/encode/decode/synthesize/wrap/compress/force/cast/pack/compact/unescape/encrypt/return/escape	1	get
82	Get the flags field for the SheetProperties record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
83	"Control if only the Icon is shown	 or Icon + Value"	10	unknown	not a function	1	set
84	returns the descriptor for the given relationship type	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
85	Sets the show bubble sizes field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
86	return a string representation of this token alone	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
87	Sets the DIB signature - either 0x7A80 or 0x7A90	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
88	Get access to the underlying Escher Records	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
89	get the background palette color index	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
90	Default outer right cell margin/padding.	10	unknown	not a function	4	
91	Headers's text	10	unknown	not a function	4	
92	Fired when a package part is read	80	call	call/invoke/tell/indicate/occur/perform/prompt/notify	4	
93	Determine and cache image properties	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	1	store
94	Set an unambiguous reference to the resource within a given context.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
95	get a string representation of the record (for biffview/debugging)	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
96	set the value from an InputStream	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
97	Sets the text placeholder	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
98	Sets the value of the hslClr property.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
99	Gives back the X509 certificate used during the last signature verification operation.	52	provide	provide/give/supply	4	
100	"Call this whenever validation structures change	 so future results stay in sync with the Workbook state."	14	perform	perform/execute/run/call/invoke/enforce/fire/trigger/indicate/occur	4	
101	Set the minor unit value field for the AxisOptions record.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
102	Sets the fFldVanish field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
103	"If there isn't currently a ThemesTable for the  current Workbook	 then creates one and sets it up."	10	unknown	not a function	1	create
104	Sets the fMac field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
105	Get the center of the header or footer.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
106	freeze unsplit panes or not	15	stop	stop/quit/terminate/interrupt/end/crash/intercept/abort/disconnect/shutdown/pause/finalize/freeze/block	1	set
107	"get the logical col number for the last cell this row (0 based index)	 plus one"	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
108	"If > 0	 the note is an automatically numbered note	 otherwise it has a custom mark."	10	unknown	not a function	4	
109	Gets the value of the h property.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
110	"Sets the font size directly on this text run	 if null is given	 the font size defaults to the values given from the slide layout"	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
111	Gets the value of the dx property.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
112	Returns an Enumeration of all the Entries	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
113	Returns the plain string representation.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
114	Gets the address of this cell	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
115	Gets the value of the fmla property.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
116	Returns the enum constant of this type with the specified name.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
117	Sets the right string or footer.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
118	Returns manual layout for the chart element.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
119	Get the ID of the master slide used.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
120	get a string representation of the record (for biffview/debugging)	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
121	Returns the distance (in points) between the left edge of the text frame  and the left edge of the inscribed rectangle of the shape that contains  the text.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
122	"Returns an array containing the constants of this enum type	 inthe order they are declared."	61	convert	convert/change/transfer/flatten/parse/map/turn/transform/reconvert/move/unmarshal/adapt/marshal/package/translate/encode/decode/synthesize/wrap/compress/force/cast/pack/compact/unescape/encrypt/return/escape	1	get
123	get the type of underlining for the font	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
124	Indicates that the defined name refers to a user-defined function.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
125	Init record from stream	10	unknown	not a function	1	initialize
126	"Deprecated.__n 3.17-beta2	 use FileMagic.valueOf(InputStream) == FileMagic.OLE2 instead"	10	unknown	not a function	4	
127	Sets the fTruncDxaExpand field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
128	Returns the aggregate escher record we're bound to	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
129	Returns the type (held as a little endian in bytes 3 and 4) that this class handles.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
130	Set the reserved3 field for the Axis record.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
131	Add filter for the column with the corresponding index and cell value	43	add	append/put/add/insert/push/interpolate/place/install/register/queue/register/enqueue	4	
132	Removes the slide at the given index (0-based).	59	remove	remove/exclude/reduce/delete/pop/uninstall/detach/decrement/revoke/dequeue/abandon/discard/peek	4	
133	Sets a page break at the indicated row Breaks occur above the specified row and left of the specified column inclusive.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
134	Sets the fHasOriginalStyle field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
135	"Returns the custom palette in use for this workbook; if a custom palette record does not exist	 then it is created."	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
136	Sets the wr field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
137	Apply the record settings to the graphics context	38	apply	apply/reapply/accept/re-apply	4	
138	Sets the value of the r property.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
139	Finds the first sheet name by his extern sheet index	22	find	query/find/locate/determine/retrieve/visit/look/search/discover/seek	4	
140	return a character representation of the fields of this record	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
141	Horizontal distance between text and absolutely positioned object.	10	unknown	not a function	4	
142	Sets the fSupressTopSpacing field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
143	Sets the footer margin.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
144	get whether or not to iterate for calculations	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
145	Gives back the short description of the signature policy or null if a description is not available.	52	provide	provide/give/supply	4	
146	Must be either SlideHeadersFootersContainer or NotesHeadersFootersContainer	10	unknown	not a function	4	
147	Should sheet names be included? Default is true	10	unknown	not a function	4	
148	This element specifies the vertical line spacing that is to be used within a paragraph.	10	unknown	not a function	4	
149	Should the Cell be auto-sized by Excel to shrink  it to fit if this text is too long?	10	unknown	not a function	4	
150	Returns the contents of this property set stream as an input stream.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	1	convert
151	"When == 1	 use the color from the selected table look"	10	unknown	not a function	1	check
152	Get the number of fonts in the font table	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
153	Control if Excel should be asked to recalculate all formulas on this sheet when the workbook is opened.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
154	Remove a defined name by name	59	remove	remove/exclude/reduce/delete/pop/uninstall/detach/decrement/revoke/dequeue/abandon/discard/peek	4	
155	Sets the fSupressSpdfAfterPageBreak field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
156	Set the dxaHotz field for the DOP record.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
157	Sets the fHtmlDoc field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
158	Insert a line break	43	add	append/put/add/insert/push/interpolate/place/install/register/queue/register/enqueue	4	
159	Set the column of the cell that contains the comment	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
160	Sets the string value of the property with the specified ID.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
161	"""Converts a string of format YYYY/MM/DD"""" to its (Excel) numeric equivalent"""""""	61	convert	convert/change/transfer/flatten/parse/map/turn/transform/reconvert/move/unmarshal/adapt/marshal/package/translate/encode/decode/synthesize/wrap/compress/force/cast/pack/compact/unescape/encrypt/return/escape	4	
162	Removes the revision number.	59	remove	remove/exclude/reduce/delete/pop/uninstall/detach/decrement/revoke/dequeue/abandon/discard/peek	4	
163	returns true if the specified col is in range	3	check	test/tell/determine/check/retrieve/ascertain/return/control/indicate/query/report/validate/get/invalidate/verify/find/identify/track/detect/decide	4	
164	Sets the behaviour when an invalid value is entered	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
165	use default date setttings for this axis	10	unknown	not a function	4	
166	get a string representation of the record (for biffview/debugging)	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
167	Writes len bytes from the specified byte array starting at offset off to this output stream.	41	write	write/record/log/print/output	4	
168	Get the flags field for the LFOLVLBase record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
169	get the index within the HSSFWorkbook (sequence within the collection of Font objects)	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
170	Creates a new DataFormat instance	7	create	create/build/produce/construct/generate/establish/make/obtain/reconstitute/compose/instantiate/implement/get/retrieve/return	4	
171	Abstract method that get the output stream of this part.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
172	"If validation type is DataValidationConstraint.ValidationType.LIST and formula1 was comma-separated literal values rather than a range or named range	 returns list of literal values."	10	unknown	not a function	1	check
173	Returns all Pictures of this slideshow.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
174	Works out what block follows the specified one.	34	compute	compute/calculate/determine/evaluate/solve/scale/measure/recalculate/multiply/count/figure/subtract/increase/estimate/return	4	
175	"Creates a new StAX XMLOutputFactory	 with sensible defaults"	7	create	create/build/produce/construct/generate/establish/make/obtain/reconstitute/compose/instantiate/implement/get/retrieve/return	4	
176	Change the text	4	modify	update/modify/fill/edit/change/rename/populate/adjust/flush/trim/adapt/reconcile/resize	4	
177	Gets the number of defined cells (NOT number of cells in the actual row!).	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
178	Sets the fLastRow field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
179	Sets the fOwnStat field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
180	set whether the this is protected shared/tracked workbook or not	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
181	if the row is formatted then this is the index to the extended format record	28	format	format/return	1	check
182	An unsigned integer that specifies the number of slides that this animation continues playing.	10	unknown	not a function	4	
183	Get the raw value flags.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
184	Set language.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
185	Write the filesystem out	41	write	write/record/log/print/output	4	
186	Tells whether this CustomProperties instance is pure or one or more properties of the underlying low-level property set has been dropped.	3	check	test/tell/determine/check/retrieve/ascertain/return/control/indicate/query/report/validate/get/invalidate/verify/find/identify/track/detect/decide	4	
187	Deprecated.__OI 3.15 beta 3. Use setCellType(CellType) instead. Will be deleted when we make the CellType enum transition. See bug 59791.	10	unknown	not a function	4	
188	Set the width field for the Text record.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
189	Delete the printarea for the sheet specified	59	remove	remove/exclude/reduce/delete/pop/uninstall/detach/decrement/revoke/dequeue/abandon/discard/peek	4	
190	Returns the application name (or null).	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
191	"Returns an Iterator with paragraphs and tables	 in the order that they occur in the text."	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
192	A bit that specifies whether the phonetic guide feature is enabled for any cell in this row.	10	unknown	not a function	4	
193	Repositions this stream to the position at the time the mark() method was last called on this input stream.	27	initialize	initialize/reinitialize/prepare/refresh/reset/initiate/reposition	4	
194	is this a DocumentEntry?	10	unknown	not a function	4	check
195	get the format string that matches the given format index	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
196	Returns the device configuration associated with this Graphics2D.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
197	"Returns an array containing the constants of this enum type	 inthe order they are declared."	61	convert	convert/change/transfer/flatten/parse/map/turn/transform/reconvert/move/unmarshal/adapt/marshal/package/translate/encode/decode/synthesize/wrap/compress/force/cast/pack/compact/unescape/encrypt/return/escape	1	get
198	A LID whose meaning depends on the nFib value.	10	unknown	not a function	4	
